-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,100,100,-100,-100,-100
-100,-100,-100,100,-100,100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,100,100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,100,100,-100,-100,-100,-100,-100,-100
100,-100,100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
100,100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,5,-100,100,-100,-100
-100,-100,-100,5,-100,-100,100,-100,-100
-100,-100,100,-100,-100,-100,100,-100,-100
-100,-10,-100,-100,-100,-100,100,-100,-100
-10,-100,-100,-100,-100,-100,100,-100,-100
-100,-100,-100,-100,-100,5,100,-100,-100
-100,-100,-100,5,5,100,100,-100,-100
-100,-100,-10,-100,-10,100,100,-100,-100
-100,-10,-100,-100,100,100,100,-100,-100
-10,-100,-100,-100,100,100,100,-100,-100
-100,-100,-100,-100,-100,5,100,-100,-100
-100,-100,-10,-10,-100,100,100,-100,-100
-100,-10,-100,-10,-100,-10,100,-100,-100
-10,-100,-100,-10,-100,-10,100,-100,-100
-100,-100,-100,-100,-100,100,100,-100,-100
-100,-10,-10,-100,-100,100,100,-100,-100
-10,-100,-10,-100,-100,100,100,-100,-100
-100,-100,-100,-100,-100,-10,100,-100,-100
-10,-10,-100,-100,-100,-10,100,-100,-100
-100,-100,-100,-100,-100,-10,100,-100,-100
-100,-100,-100,5,-100,-100,100,-100,-100
-100,-100,-10,-100,-100,-100,100,-100,-100
-100,100,-100,-100,-100,-100,100,-100,-100
100,-100,-100,-100,-100,-100,100,-100,-100
-100,-100,-100,-100,5,-100,100,-100,-100
-100,-100,-10,-10,-10,-100,100,-100,-100
-100,-10,-100,-10,100,-100,100,-100,-100
-10,-100,-100,-10,100,-100,100,-100,-100
-100,-100,-100,-100,-10,-100,100,-100,-100
-100,-10,-10,-100,100,-100,100,-100,-100
-10,-100,-10,-100,100,-100,100,-100,-100
-100,-100,-100,-100,100,-100,100,-100,-100
-10,-10,-100,-100,100,-100,100,-100,-100
-100,-100,-100,-100,100,-100,100,-100,-100
-100,-100,-10,-100,-100,-100,100,-100,-100
-100,-10,-100,-100,-100,-100,100,-100,-100
-10,-100,-100,-100,-100,-100,100,-100,-100
-100,-100,-100,-10,-100,-100,100,-100,-100
-100,-10,-10,-10,-100,-100,100,-100,-100
-10,-100,-10,-10,-100,-100,100,-100,-100
-100,-100,-100,-10,-100,-100,100,-100,-100
-10,-10,-100,-10,-100,-100,100,-100,-100
-100,-100,-100,-10,-100,-100,100,-100,-100
-100,5,-100,-100,-100,-100,100,-100,-100
5,-100,-100,-100,-100,-100,100,-100,-100
-100,-100,5,-100,-100,-100,100,-100,-100
5,5,100,-100,-100,-100,100,-100,-100
-100,-100,5,-100,-100,-100,100,-100,-100
5,-100,-100,-100,-100,-100,100,-100,-100
-100,5,-100,-100,-100,-100,100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,5,100,-100,-100,-100,-100
-100,-100,100,-100,100,-100,-100,-100,-100
-100,5,-100,-100,100,-100,-100,-100,-100
-10,-100,-100,-100,100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,100,100,-100,-100,-100,-100,-100
-100,5,-100,5,-100,-100,-100,-100,-100
5,-100,-100,5,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,5,100,-100,-100,-100,-100,-100,-100
-10,-100,100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
5,5,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,5,-100,100,-100,-100,-100
-100,-100,5,-100,-100,100,-100,-100,-100
-100,100,-100,-100,-100,100,-100,-100,-100
100,-100,-100,-100,-100,100,-100,-100,-100
-100,-100,-100,-100,5,100,-100,-100,-100
-100,-100,-10,-10,-10,100,-100,-100,-100
-100,-10,-100,-10,100,100,-100,-100,-100
-10,-100,-100,-10,100,100,-100,-100,-100
-100,-100,-100,-100,5,100,-100,-100,-100
-100,5,5,-100,100,100,-100,-100,-100
-10,-100,-10,-100,100,100,-100,-100,-100
-100,-100,-100,-100,100,100,-100,-100,-100
-10,-10,-100,-100,100,100,-100,-100,-100
-100,-100,-100,-100,100,100,-100,-100,-100
-100,-100,-10,-100,-100,100,-100,-100,-100
-100,5,-100,-100,-100,5,-100,-100,-100
5,-100,-100,-100,-100,5,-100,-100,-100
-100,-100,-100,-10,-100,100,-100,-100,-100
-100,-10,-10,-10,-100,100,-100,-100,-100
-10,-100,-10,-10,-100,100,-100,-100,-100
-100,-100,-100,5,-100,5,-100,-100,-100
5,5,-100,5,-100,5,-100,-100,-100
-100,-100,-100,5,-100,5,-100,-100,-100
-100,5,-100,-100,-100,100,-100,-100,-100
-10,-100,-100,-100,-100,100,-100,-100,-100
-100,-100,5,-100,-100,100,-100,-100,-100
-10,-10,100,-100,-100,100,-100,-100,-100
-100,-100,-10,-100,-100,100,-100,-100,-100
5,-100,-100,-100,-100,5,-100,-100,-100
-100,5,-100,-100,-100,5,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-10,-10,-100,-100,-100,-100,-100
-100,100,-100,100,-100,-100,-100,-100,-100
100,-100,-100,100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,100,100,-100,-100,-100,-100,-100,-100
100,-100,100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
100,100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-10,-100,-10,-100,-100,-100,-100
-100,-10,-100,-100,100,-100,-100,-100,-100
-10,-100,-100,-100,100,-100,-100,-100,-100
-100,-100,-100,-10,-10,-100,-100,-100,-100
-100,-10,-10,-10,100,-100,-100,-100,-100
-10,-100,-10,-10,100,-100,-100,-100,-100
-100,-100,-100,-10,100,-100,-100,-100,-100
-10,-10,-100,-10,100,-100,-100,-100,-100
-100,-100,-100,-10,100,-100,-100,-100,-100
-100,5,-100,-100,100,-100,-100,-100,-100
-10,-100,-100,-100,100,-100,-100,-100,-100
-100,-100,5,-100,100,-100,-100,-100,-100
-10,-10,100,-100,100,-100,-100,-100,-100
-100,-100,-10,-100,100,-100,-100,-100,-100
-10,-100,-100,-100,100,-100,-100,-100,-100
-100,-10,-100,-100,100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-10,-10,-100,-100,-100,-100,-100,-100
-10,-100,-10,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
5,5,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-10,-100,-10,-100,-100,-100,-100,-100
-10,-100,-100,-10,-100,-100,-100,-100,-100
-100,-100,-10,-10,-100,-100,-100,-100,-100
-10,-10,100,100,-100,-100,-100,-100,-100
-100,-100,-10,-10,-100,-100,-100,-100,-100
5,-100,-100,5,-100,-100,-100,-100,-100
-100,5,-100,5,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
5,100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
5,-100,100,-100,-100,-100,-100,-100,-100
-100,5,100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,-100,-100,-100,-100,-100
-100,-100,-100,-100,5,-100,-100,100,-100
-100,-100,-100,5,-100,-100,-100,100,-100
-100,-100,100,-100,-100,-100,-100,100,-100
-100,-10,-100,-100,-100,-100,-100,100,-100
-10,-100,-100,-100,-100,-100,-100,100,-100
-100,-100,-100,-100,-100,5,-100,100,-100
-100,-100,-100,5,5,100,-100,100,-100
-100,-100,-10,-100,100,100,-100,100,-100
-100,-10,-100,-100,-10,-10,-100,100,-100
-10,-100,-100,-100,100,100,-100,100,-100
-100,-100,-100,-100,-100,5,-100,100,-100
-100,-100,-10,-10,-100,100,-100,100,-100
-100,-10,-100,-10,-100,-10,-100,100,-100
-10,-100,-100,100,-100,100,-100,100,-100
-100,-100,-100,-100,-100,100,-100,100,-100
-100,-10,-10,-100,-100,100,-100,100,-100
-10,-100,-10,-100,-100,100,-100,100,-100
-100,-100,-100,-100,-100,-10,-100,100,-100
-10,-10,-100,-100,-100,-10,-100,100,-100
-100,-100,-100,-100,-100,-10,-100,100,-100
-100,-100,-100,5,-100,-100,-100,100,-100
-100,-100,100,-100,-100,-100,-100,100,-100
-100,-10,-100,-100,-100,-100,-100,100,-100
100,-100,-100,-100,-100,-100,-100,100,-100
-100,-100,-100,-100,5,-100,-100,100,-100
-100,-100,-10,-10,100,-100,-100,100,-100
-100,-10,-100,-10,-10,-100,-100,100,-100
-10,-100,-100,100,100,-100,-100,100,-100
-100,-100,-100,-100,100,-100,-100,100,-100
-100,-10,-10,-100,100,-100,-100,100,-100
-10,-100,-10,-100,100,-100,-100,100,-100
-100,-100,-100,-100,-10,-100,-100,100,-100
-10,-10,-100,-100,100,-100,-100,100,-100
-100,-100,-100,-100,100,-100,-100,100,-100
-100,-100,-10,-100,-100,-100,-100,100,-100
-100,-10,-100,-100,-100,-100,-100,100,-100
100,-100,-100,-100,-100,-100,-100,100,-100
-100,-100,-100,-10,-100,-100,-100,100,-100
-100,-10,-10,-10,-100,-100,-100,100,-100
-10,-100,-10,100,-100,-100,-100,100,-100
-100,-100,-100,-10,-100,-100,-100,100,-100
-10,-10,-100,100,-100,-100,-100,100,-100
-100,-100,-100,100,-100,-100,-100,100,-100
-100,5,-100,-100,-100,-100,-100,100,-100
5,-100,-100,-100,-100,-100,-100,100,-100
-100,-100,5,-100,-100,-100,-100,100,-100
5,5,100,-100,-100,-100,-100,100,-100
-100,-100,5,-100,-100,-100,-100,100,-100
5,-100,-100,-100,-100,-100,-100,100,-100
-100,5,-100,-100,-100,-100,-100,100,-100
-100,-100,-100,-100,-100,-100,5,100,-100
-100,-100,-100,5,100,-100,100,100,-100
-100,-100,100,-100,100,-100,100,100,-100
-100,-10,-100,-100,-10,-100,-10,100,-100
-10,-100,-100,-100,100,-100,100,100,-100
-100,-100,-100,-100,-100,-100,5,100,-100
-100,-100,100,100,-100,-100,100,100,-100
-100,-10,-100,-10,-100,-100,-10,100,-100
-10,-100,-100,-10,-100,-100,100,100,-100
-100,-10,100,-100,-100,-100,100,100,-100
